yalefaces/subject01.glasses	8035	8160 	8159.84	8160	6550.81	4666	6453	6332.31	4704.47	3688.81	4650.59	4097.94	7837.09	6228.06	7207.97	8078.81
yalefaces/subject01.gif	8035	8160	8160	8160	6228.72	4211.44	6070.78	6302.44	3314.97	3319.34	3787.38	3456.41	7242.94	4590.25	6112.69	7573.34	
yalefaces/subject01.glasses.gif	8035	8160	8159.84	8160	6550.81	4666	6453	6332.31	4704.47	3688.81	4650.59	4097.94	7837.09	6228.06	7207.97	8078.81	
yalefaces/subject01.happy	8035	8160	8159.81	8160	6391.38	4496.09	6229.53	6308.63	4531.41	3512.75	4405.78	4177.78	7793.44	6174.16	7314.34	8059.47	
yalefaces/subject01.leftlight	8034.69	8159.78	8159.59	8160	6178.22	4397.13	6332.97	6570.13	2847.25	2407.91	2605.25	2416.03	2973.84	1224.59	1293.63	2082.63	
yalefaces/subject01.noglasses	8035	8160	8160	8160	7560.47	5488.59	6858.53	7515.72	5116.62	4054.34	5569.59	3882.84	7571.16	5105.66	6409.97	7581.63	
yalefaces/subject01.normal	8035	8160	8159.91	8160	6516.34	4725.31	6744	6433.69	4492.12	4026.13	4998.47	4030.88	7732.12	6023.94	7248.88	8067.56	
yalefaces/subject01.rightlight	2475.78	2312.56	2257.44	1989.59	3430.84	1106.12	1513.78	1533.06	2910.13	2278.47	2912.44	3342.22	6916.81	5054.19	6157.47	6618.56	
yalefaces/subject01.sad	8035	8160	8159.84	8160	6595	4547.81	6578.91	6410.69	4618.5	3841.84	5097.28	3655.84	7798.94	6151.62	7273.94	8059.94	
yalefaces/subject01.sleepy	8035	8160	8159.91	8160	6560.56	4796.56	6718.88	6470.34	4471.59	3786.22	4903.72	4029.34	7679.53	5825.16	7077.56	8042.88	
yalefaces/subject01.surprised	8035	8160	8160	8160	6700.06	5025.62	6786.63	6778.81	4347.69	4156.78	4409.25	3950.56	7544.75	5646.47	6990.19	8035.09	
yalefaces/subject01.wink	8035	8160	8160	8160	6692.47	5077.28	6791.6	6519.78	4478.22	3689.44	4629.25	4128.44	7622.44	5634.53	6750.63	8010.47	
yalefaces/subject02.centerlight	8035	8160	8160	8160	7139.22	5207	6847.62	7518.69	2704.25	5243.81	4285.22	3711.13	7010.81	5090.56	6583.09	7678.94	
yalefaces/subject02.glasses	8018.53	8154.41	8158.16	8158	6502.25	4704	5554.66	6469.59	3132.94	3896.5	2446.25	2177	7644.19	5323.53	5617.5	6430.06	
yalefaces/subject02.happy	8020	8155.03	8158.19	8159.13	7095.5	5313.62	6287.69	7318	2787.22	3992.91	2341.69	2228.56	6923.91	4535.5	4847.5	5958.28	
yalefaces/subject02.leftlight	8035	8160	8160	8160	7489.59	5510.72	7075.5	7711.81	3525.41	3709.88	2946.63	2756.63	5251.22	1701.94	1788.25	2215.88	
